"Classement des films les plus diffusés sur les chaînes nationales gratuites depuis 1957 1"
"Année                      Nbre      Dernière"
"Titre                              Réalisateurs                          Pays2"
"de sortie                  de diff.   diffusion"
"67   On continue à l'appeler Trinita                   Clucher E. B.                         1972     FR / IT              17      2013"
"68   L'Armée des ombres                                Melville Jean-Pierre                  1969     FR / IT              17      2011"
"69   Le Cerveau                                        Oury Gérard                           1968     FR / IT              17      2013"
"70   Le Gendarme se marie                              Girault Jean                          1968     FR / IT              17      2012"
"71   Fantomas contre Scotland Yard                     Hunebelle André                       1966     FR / IT              17      2013"
"72   Fantomas se déchaîne                              Hunebelle André                       1965     FR / IT              17      2013"
"73   Le Gendarme à New-York                            Girault Jean                          1965     FR / IT              17      2012"
"74   Fantomas                                          Hunebelle André                       1964     FR / IT              17      2013"
"75   Le Corniaud                                       Oury Gérard                           1964     FR / IT              17      2013"
"76   Les Barbouzes                                     Lautner Georges                       1964     FR                   17      2013"
"77   Faites sauter la banque                           Girault Jean                          1963     FR                   17      2013"
"78   Les Tontons flingueurs                            Lautner Georges                       1963     FR / IT / DE         17      2013"
"79   Mélodie en sous-sol                               Verneuil Henri                        1962     FR / IT              17      2012"
"80   Don Camillo Monseigneur                           Gallone Carmine                       1961     FR / IT              17      2011"
"81   Sissi face à son destin                           Marischka Ernst                       1956     AT                   17      2013"
"82   La Grande Bagarre de Don Camillo                  Gallone Carmine                       1955     FR / IT              17      2011"
"83   Le Retour de Don Camillo                          Duvivier Julien                       1952     FR / IT              17      2012"
"84   Le Petit Monde de Don Camillo                     Duvivier Julien                       1951     FR / IT              17      2012"
"85   Top Gun                                           Scott Tony                            1986     US                   16      2013"
"86   Le Nom de la rose                                 Annaud Jean-Jacques                   1985     FR / DE / IT         16      2013"
"87   La Smala                                          Hubert Jean-Loup                      1984     FR                   16      2009"
"88   Les Spécialistes                                  Leconte Patrice                       1984     FR                   16      2012"
"89   Le Garde du corps                                 Leterrier François                    1983     FR                   16      2012"
"90   Circulez y'a rien à voir                          Leconte Patrice                       1982     FR                   16      2012"
"91   La Boum 2                                         Pinoteau Claude                       1982     FR                   16      2013"
"92   Le Quart d'heure américain                        Galland Philippe                      1982     FR                   16      2012"
"93   L'Eté meutrier                                    Becker Jean                           1982     FR                   16      2013"
"94   Garde à vue                                       Miller Claude                         1981     FR                   16      2012"
"95   La Soupe aux choux                                Girault Jean                          1981     FR                   16      2013"
"96   Ma femme s'appelle reviens                        Leconte Patrice                       1981     FR                   16      2013"
"97   Quand tu seras débloqué fais-moi signe            Leterrier François                    1981     FR                   16      2013"
"98   Cul et chemise                                    Zingarelli Italo                      1979     IT                   16      2013"
"99   Flic ou voyou                                     Lautner Georges                       1979     FR                   16      2013"
"100   La Cage aux folles                                Molinaro Edouard                      1978     FR / IT              16      2013"
"101   L'Aile ou la cuisse                               Zidi Claude                           1976     FR                   16      2013"
"102   Le Jouet                                          Veber Francis                         1976     FR                   16      2012"
"103   Le Jour de gloire                                 Besnard Jacques                       1976     FR / DE              16      2013"
"104   Adieu poulet                                      Granier-Deferre Pierre                1975     FR                   16      2013"
"105   La Gifle                                          Pinoteau Claude                       1974     FR / IT              16      2013"
"106   César et Rosalie                                  Sautet Claude                         1972     FR / IT / DE         16      2013"
"107   Quelques messieurs trop tranquilles               Lautner Georges                       1972     FR                   16      2013"
"108   La Folie des grandeurs                            Oury Gérard                           1971     FR / ES / IT         16      2013"
"109   Laisse aller, c'est une valse                     Lautner Georges                       1970     FR                   16      2012"
"110   Le Cercle rouge                                   Melville Jean-Pierre                  1970     FR / IT              16      2013"
"111   Il était une fois dans l'Ouest                    Leone Sergio                          1969     IT                   16      2013"
"112   Le Samourai                                       Melville Jean-Pierre                  1967     FR / IT              16      2013"
"113   Le Bon, la brute et le truand                     Leone Sergio                          1966     IT                   16      2013"
"114   Don Camillo en Russie                             Comencini Luigi                       1965     FR / IT              16      2012"
"115   Les Tribulations d'un chinois en Chine            De Broca Philippe                     1965     FR / IT              16      2013"
"116   Cent mille dollars au soleil                      Verneuil Henri                        1963     FR / IT              16      2013"
"117   Le Président                                      Verneuil Henri                        1960     FR / IT              16      2012"
"118   La Vache et le prisonnier                         Verneuil Henri                        1959     FR / IT              16      2012"
"119   Rio Bravo                                         Hawks Howard                          1958     US                   16      2012"
"120   Sissi impératrice                                 Marischka Ernst                       1956     AT                   16      2012"
"121   Sissi                                             Marischka Ernst                       1955     AT                   16      2012"
"122   La Belle et la bête                               Cocteau Jean                          1946     FR                   16      2013"
"123   Le Schpountz                                      Pagnol Marcel                         1938     FR                   16      2012"
"1"
"Toutes chaînes nationales gratuites confondues."
"2"
"AT : Autriche, BE : Belgique, DE : Allemagne, ES : Espagne, FR : France, GB : Grande-Bretagne, IT : Italie, US : Etats-Unis."
"Sources : CNC - CSA-Wikipedia et autres."
""
"Mis à jour le 19/05/2014."
""
""
"Films à la télévision"
""
